,Symbol,Description,Sector,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
15,WMB,"The Williams Companies, Inc., is an American energy company based in Tulsa, Oklahoma. Its core business is natural gas processing and transportation, with additional petroleum and electricity generation assets.",ENERGY & TRANSPORTATION,32368394000,1.463,31.45,0.82,5.51,0.0736,0.102,2.9,22.25
16,WLTW,"Willis Towers Watson Public Limited Company is a British multinational risk management, insurance brokerage and advisory company.",FINANCE,29129167000,0.767,13.19,17.65,2.232,0.21,0.237,2.557,214.31
17,WYNN,"Wynn Resorts, Limited is an American publicly traded corporation based in Paradise, Nevada that is a developer and operator of high end hotels and casinos.",REAL ESTATE & CONSTRUCTION,10129319000,2.42,None,-7.59,5.73,-5.61,-0.249,12.01,101.08
18,XEL,"Xcel Energy Inc. is a utility holding company based in Minneapolis, Minnesota, serving more than 3.7 million electric customers and 2.1 million natural gas customers in Minnesota, Michigan, Wisconsin, North Dakota, South Dakota, Colorado, Texas, and New Mexico as of 2019. It consists of four operating subsidiaries: Northern States Power-Minnesota, Northern States Power-Wisconsin, Public Service Company of Colorado, and Southwestern Public Service Co.",ENERGY & TRANSPORTATION,35827312000,0.368,22.91,2.924,4.603,0.108,0.121,2.362,66.44
19,XLNX,"Xilinx, Inc. is an American technology company that is primarily a supplier of programmable logic devices. The company invented the field-programmable gate array (FPGA).",MANUFACTURING,53834669000,0.988,62.17,3.219,14.96,0.274,0.231,15.85,121.17
20,XYL,"Xylem Inc. is a large American water technology provider, in public utility, residential, commercial, agricultural and industrial settings.",TECHNOLOGY,22143943000,1.042,45.43,2.549,4.464,0.155,0.0881,7.16,96.65
21,YUM,"Yum! Brands, Inc. is an American fast food corporation listed on the Fortune 1000. Yum! operates the brands KFC, Pizza Hut, Taco Bell, The Habit Burger Grill, and WingStreet worldwide, except in China, where the brands are operated by a separate company, Yum China.",TRADE & SERVICES,39241728000,1.064,25.48,5.18,7.69,-99999.99,0.245,-,105.0
22,ZBRA,"Zebra Technologies Corporation is an American company that manufactures and sells marking, tracking, and computer printing technologies. Its products include thermal barcode label and receipt printers, RFID smart label printers/encoders/fixed & handheld readers/antennas, and card and kiosk printers that are used for barcode labeling, personal identification, and specialty printing, principally in the manufacturing, supply chain, retail, healthcare, and government sectors.",TECHNOLOGY,32842468000,1.552,37.52,15.68,6.15,0.356,0.154,11.66,378.53
23,ZBH,"Zimmer Biomet is a publicly traded medical device company. The company is headquartered in Warsaw, Indiana, where it is part of the medical devices business cluster.",LIFE SCIENCES,26006958000,1.247,30.88,3.914,4.135,0.0667,0.104,2.046,144.4
24,ZION,"Zions Bancorporation is a bank holding company headquartered in Salt Lake City, Utah.",FINANCE,9890055000,1.43,8.65,7.08,-,0.155,0.369,1.349,45.12
25,ZTS,"Zoetis Inc. is an American drug company, the world's largest producer of medicine and vaccinations for pets and livestock.",LIFE SCIENCES,109504972000,0.65,56.47,4.149,14.83,0.478,0.26,23.4,162.43
